,ID,City,State,Latitude,Longitude,PlaceName,PlaceAddress,PlaceRating,PlaceLatitude,PlaceLongitude
40,41,Lee's Summit,Missouri,38.9108408,-94.3821724,The Corner Mexican Food Restaurant,"720 Main St, Grandview",4.6,38.8896831,-94.53649449999999
41,42,Lee's Summit,Missouri,38.9108408,-94.3821724,Fiesta Azteca Mexican Restaurant,"6640 Raytown Rd, Raytown",4.5,39.00169380000001,-94.46433549999999
42,43,Lee's Summit,Missouri,38.9108408,-94.3821724,Campestre Mexican Restaurant,"13055 US-71, Grandview",4.2,38.8871119,-94.52405259999999
43,44,Lee's Summit,Missouri,38.9108408,-94.3821724,El potro mexican cafe,"210 SW Greenwich Dr, Lee's Summit",4.4,38.8523494,-94.3801683
44,45,Lee's Summit,Missouri,38.9108408,-94.3821724,Habanero's,"1008 SE Blue Pkwy, Lee's Summit",4.1,38.9037885,-94.35737909999999
45,46,Lenexa,Kansas,38.9536174,-94.73357089999999,Tequila Harry's Mexican Restaurant,"11817 College Blvd, Overland Park",4.0,38.92645479999999,-94.7229557
46,47,Lenexa,Kansas,38.9536174,-94.73357089999999,Mi Ranchito,"14154 W 119th St, Olathe",4.4,38.9132892,-94.74983619999999
47,48,Lenexa,Kansas,38.9536174,-94.73357089999999,Tortilla Ranch Mexican Grill,"8617 College Blvd, Overland Park",4.5,38.9268386,-94.6843858
48,49,Lenexa,Kansas,38.9536174,-94.73357089999999,K-Macho's Mexican Grill and Cantina,"11741 Metcalf Ave, Overland Park",4.4,38.9144657,-94.6673581
49,50,Lenexa,Kansas,38.9536174,-94.73357089999999,Torreon Mexican Restaurant,"9129 Elmhurst Dr, Overland Park",4.4,38.9719408,-94.6917407
50,51,Liberty,Missouri,39.2461138,-94.4191177,El Sombrero Mexican Restaurant,"79 US-69, Kansas City",4.3,39.197061,-94.5048729
51,52,Liberty,Missouri,39.2461138,-94.4191177,Margarita's North,"7013 N Oak Trafficway, Kansas City",4.3,39.222086,-94.57560439999999
52,53,Liberty,Missouri,39.2461138,-94.4191177,El Maguey Mexican Restaurant,"7831 N Oak Trafficway, Kansas City",4.3,39.236515,-94.57530709999999
53,54,Liberty,Missouri,39.2461138,-94.4191177,Mi Hacienda Mexican Restaurant,"290 S, 1911, Rte 291, Liberty",4.2,39.2421848,-94.4418906
54,55,Liberty,Missouri,39.2461138,-94.4191177,Mi Ranchito,"5708 N Oak Trafficway, Kansas City",4.3,39.198249,-94.576865
55,56,Merriam,Kansas,39.0236165,-94.6935701,Tequila Harry's Mexican Restaurant,"11817 College Blvd, Overland Park",4.0,38.92645479999999,-94.7229557
56,57,Merriam,Kansas,39.0236165,-94.6935701,Tortilla Ranch Mexican Grill,"8617 College Blvd, Overland Park",4.5,38.9268386,-94.6843858
57,58,Merriam,Kansas,39.0236165,-94.6935701,Mi Ranchito,"14154 W 119th St, Olathe",4.4,38.9132892,-94.74983619999999
58,59,Merriam,Kansas,39.0236165,-94.6935701,K-Macho's Mexican Grill and Cantina,"11741 Metcalf Ave, Overland Park",4.4,38.9144657,-94.6673581
59,60,Merriam,Kansas,39.0236165,-94.6935701,Torreon Mexican Restaurant,"9129 Elmhurst Dr, Overland Park",4.4,38.9719408,-94.6917407
60,61,Mission,Kansas,39.0277832,-94.6557914,Tequila Harry's Mexican Restaurant,"11817 College Blvd, Overland Park",4.0,38.92645479999999,-94.7229557
61,62,Mission,Kansas,39.0277832,-94.6557914,Mi Ranchito,"14154 W 119th St, Olathe",4.4,38.9132892,-94.74983619999999
62,63,Mission,Kansas,39.0277832,-94.6557914,Tortilla Ranch Mexican Grill,"8617 College Blvd, Overland Park",4.5,38.9268386,-94.6843858
63,64,Mission,Kansas,39.0277832,-94.6557914,K-Macho's Mexican Grill and Cantina,"11741 Metcalf Ave, Overland Park",4.4,38.9144657,-94.6673581
64,65,Mission,Kansas,39.0277832,-94.6557914,Torreon Mexican Restaurant,"9129 Elmhurst Dr, Overland Park",4.4,38.9719408,-94.6917407
65,66,North Kansas City,Missouri,39.14290810000001,-94.5729781,Dos Reales Authentic Mexican Restaurant,"6453 Quivira Rd, Shawnee",4.1,39.0126897,-94.72288019999999
66,67,North Kansas City,Missouri,39.14290810000001,-94.5729781,Jalapenos Mexican Restaurant,"6318 Brookside Plaza, Kansas City",4.3,39.0132528,-94.5908599
67,68,North Kansas City,Missouri,39.14290810000001,-94.5729781,Don Chilitos Mexican Restaurant,"7017 Johnson Dr, Mission",4.3,39.02187980000001,-94.6665506
68,69,North Kansas City,Missouri,39.14290810000001,-94.5729781,Manny's Mexican Restaurant,"207 Southwest Blvd, Kansas City",4.3,39.0890282,-94.58667919999999
69,70,North Kansas City,Missouri,39.14290810000001,-94.5729781,Ponak's Mexican Kitchen & Bar,"2856 Southwest Blvd, Kansas City",4.4,39.0756521,-94.6032281
70,71,Olathe,Kansas,38.8813958,-94.81912849999999,Tequila Harry's Mexican Restaurant,"11817 College Blvd, Overland Park",4.0,38.92645479999999,-94.7229557
71,72,Olathe,Kansas,38.8813958,-94.81912849999999,Mi Ranchito,"14154 W 119th St, Olathe",4.4,38.9132892,-94.74983619999999
72,73,Olathe,Kansas,38.8813958,-94.81912849999999,Tortilla Ranch Mexican Grill,"8617 College Blvd, Overland Park",4.5,38.9268386,-94.6843858
73,74,Olathe,Kansas,38.8813958,-94.81912849999999,K-Macho's Mexican Grill and Cantina,"11741 Metcalf Ave, Overland Park",4.4,38.9144657,-94.6673581
74,75,Olathe,Kansas,38.8813958,-94.81912849999999,Torreon Mexican Restaurant,"9129 Elmhurst Dr, Overland Park",4.4,38.9719408,-94.6917407
75,76,Overland Park,Kansas,38.9822282,-94.6707917,Tequila Harry's Mexican Restaurant,"11817 College Blvd, Overland Park",4.0,38.92645479999999,-94.7229557
76,77,Overland Park,Kansas,38.9822282,-94.6707917,Tortilla Ranch Mexican Grill,"8617 College Blvd, Overland Park",4.5,38.9268386,-94.6843858
77,78,Overland Park,Kansas,38.9822282,-94.6707917,Mi Ranchito,"14154 W 119th St, Olathe",4.4,38.9132892,-94.74983619999999
78,79,Overland Park,Kansas,38.9822282,-94.6707917,K-Macho's Mexican Grill and Cantina,"11741 Metcalf Ave, Overland Park",4.4,38.9144657,-94.6673581
79,80,Overland Park,Kansas,38.9822282,-94.6707917,Torreon Mexican Restaurant,"9129 Elmhurst Dr, Overland Park",4.4,38.9719408,-94.6917407
80,81,Prairie Village,Kansas,38.9916726,-94.6335684,Tequila Harry's Mexican Restaurant,"11817 College Blvd, Overland Park",4.0,38.92645479999999,-94.7229557
81,82,Prairie Village,Kansas,38.9916726,-94.6335684,Tortilla Ranch Mexican Grill,"8617 College Blvd, Overland Park",4.5,38.9268386,-94.6843858
82,83,Prairie Village,Kansas,38.9916726,-94.6335684,Mi Ranchito,"14154 W 119th St, Olathe",4.4,38.9132892,-94.74983619999999
