,ID,City,State,Latitude,Longitude,PlaceName,PlaceAddress,PlaceRating,PlaceLatitude,PlaceLongitude
42,43,Lee's Summit,Missouri,38.9108408,-94.3821724,Aikou Chinese Restaurant,"608 Rte 291, Lee's Summit",4.0,38.9226783,-94.3616874
43,44,Lee's Summit,Missouri,38.9108408,-94.3821724,Legend of Asia,"1853 SW, MO-7, Blue Springs",4.2,38.9975579,-94.27391229999999
44,45,Lee's Summit,Missouri,38.9108408,-94.3821724,Lucky Wok,"3536 SW Market St, Lee's Summit",4.5,38.8543168,-94.3798451
45,46,Lenexa,Kansas,38.9536174,-94.73357089999999,Asian House restaurant,"11729 College Blvd, Overland Park",4.5,38.9265932,-94.7216699
46,47,Lenexa,Kansas,38.9536174,-94.73357089999999,Chinese Palace Restaurant,"10136 W 119th St, Overland Park",4.2,38.9141081,-94.7026781
47,48,Lenexa,Kansas,38.9536174,-94.73357089999999,China Inn Restaurant,"13412 College Blvd, Overland Park",4.2,38.9290207,-94.7414002
48,49,Lenexa,Kansas,38.9536174,-94.73357089999999,Joy Food,"11920 W 119th St, Overland Park",3.5,38.913342,-94.725139
49,50,Lenexa,Kansas,38.9536174,-94.73357089999999,China One Express,"11176 Antioch Rd, Overland Park",3.2,38.925203,-94.6874809
50,51,Liberty,Missouri,39.2461138,-94.4191177,Lucky Dragon Chinese Restaurant,"3514, 520 Armour Rd, North Kansas City",3.9,39.142814,-94.573923
51,52,Liberty,Missouri,39.2461138,-94.4191177,New China Star Restaurant,"502 NW Englewood Rd, Kansas City",4.1,39.1972271,-94.58692339999999
52,53,Liberty,Missouri,39.2461138,-94.4191177,Hunan Garden,"6409 N Prospect Ave, Gladstone",4.6,39.2100796,-94.5474825
53,54,Liberty,Missouri,39.2461138,-94.4191177,Old Wok,"8702 NE Flintlock Rd, Kansas City",4.2,39.2476899,-94.4660518
54,55,Liberty,Missouri,39.2461138,-94.4191177,Chinese Garden Restaurant,"405 US-69, Kansas City",4.5,39.20045959999999,-94.496415
55,56,Merriam,Kansas,39.0236165,-94.6935701,Asian House restaurant,"11729 College Blvd, Overland Park",4.5,38.9265932,-94.7216699
56,57,Merriam,Kansas,39.0236165,-94.6935701,Chinese Palace Restaurant,"10136 W 119th St, Overland Park",4.2,38.9141081,-94.7026781
57,58,Merriam,Kansas,39.0236165,-94.6935701,China Inn Restaurant,"13412 College Blvd, Overland Park",4.2,38.9290207,-94.7414002
58,59,Merriam,Kansas,39.0236165,-94.6935701,Joy Food,"11920 W 119th St, Overland Park",3.5,38.913342,-94.725139
59,60,Merriam,Kansas,39.0236165,-94.6935701,China One Express,"11176 Antioch Rd, Overland Park",3.2,38.925203,-94.6874809
60,61,Mission,Kansas,39.0277832,-94.6557914,Chinese Palace Restaurant,"10136 W 119th St, Overland Park",4.2,38.9141081,-94.7026781
61,62,Mission,Kansas,39.0277832,-94.6557914,Asian House restaurant,"11729 College Blvd, Overland Park",4.5,38.9265932,-94.7216699
62,63,Mission,Kansas,39.0277832,-94.6557914,China Inn Restaurant,"13412 College Blvd, Overland Park",4.2,38.9290207,-94.7414002
63,64,Mission,Kansas,39.0277832,-94.6557914,Joy Food,"11920 W 119th St, Overland Park",3.5,38.913342,-94.725139
64,65,Mission,Kansas,39.0277832,-94.6557914,China One Express,"11176 Antioch Rd, Overland Park",3.2,38.925203,-94.6874809
65,66,North Kansas City,Missouri,39.14290810000001,-94.5729781,Blue Koi Noodles & Dumplings,"1803 W 39th St, Kansas City",4.6,39.057174,-94.606402
66,67,North Kansas City,Missouri,39.14290810000001,-94.5729781,Pine & Bamboo Garden,"10915 Shawnee Mission Pkwy, Shawnee",4.4,39.0143893,-94.7129751
67,68,North Kansas City,Missouri,39.14290810000001,-94.5729781,KIN LIN,"314 E 51st St, Kansas City",3.9,39.0349456,-94.58347429999999
68,69,North Kansas City,Missouri,39.14290810000001,-94.5729781,China Garden Buffet,"5860 Antioch Rd, Shawnee Mission",3.7,39.0238695,-94.68715660000001
69,70,North Kansas City,Missouri,39.14290810000001,-94.5729781,Bo Lings,"4701 Jefferson St, Kansas City",4.1,39.0420087,-94.5944608
